"data__bikes__type","data__bikes__bike_id","data__bikes__lat","data__bikes__rental_uris__android","data__bikes__rental_uris__ios","data__bikes__is_disabled","data__bikes__is_reserved","data__bikes__lon","data__bikes__name","last_updated","ttl"
"electric_bike","2aca07458f9283c67877dacd6088501a","38.91942516666667","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-77.04174666666667","2aca07458f9283c67877dacd6088501a","1599426745","5"
"electric_bike","c34779018b95a257521c34ea13f69a0f","39.040619","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-77.050326","c34779018b95a257521c34ea13f69a0f","",""
"electric_bike","3ae93b6b7b996d51e3c566c0a4279f0f","38.9140525","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-76.97458716666667","3ae93b6b7b996d51e3c566c0a4279f0f","",""
"electric_bike","b030e5dd3c17a093e01b0c64ca258d6a","39.083747","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-77.15120366666666","b030e5dd3c17a093e01b0c64ca258d6a","",""
"electric_bike","2531a4484ecd840fdbcbe3fc6685ef11","38.95633616666667","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-76.97903783333334","2531a4484ecd840fdbcbe3fc6685ef11","",""
"electric_bike","5559bc2e0e285f683d4291dc8db5d707","38.840788833333335","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-77.10962783333333","5559bc2e0e285f683d4291dc8db5d707","",""
"electric_bike","1cc1ca88fde3f7f148c7fa234c0daf35","38.950753166666665","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-77.07415366666666","1cc1ca88fde3f7f148c7fa234c0daf35","",""
"electric_bike","7967a6dee92828916d214db644f4269f","38.94963683333334","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-77.06681683333333","7967a6dee92828916d214db644f4269f","",""
"electric_bike","e21f7a81487783062195db50b25454eb","38.87662483333333","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-77.122439","e21f7a81487783062195db50b25454eb","",""
"electric_bike","4f5d49e629c072f0f7b3e5a39b74b03b","38.850585833333334","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-76.96906133333333","4f5d49e629c072f0f7b3e5a39b74b03b","",""
"electric_bike","37488690e8526b44ae0359697626757c","38.90050733333333","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-77.03425183333333","37488690e8526b44ae0359697626757c","",""
"electric_bike","2c8d26421ba6684e6c2c8e29ed25c04a","39.00241","https://dc.lft.to/lastmile_qr_scan","https://dc.lft.to/lastmile_qr_scan","0","0","-76.995535","2c8d26421ba6684e6c2c8e29ed25c04a","",""
